Department of Employee,Reason for Resigning,Absenteeism Rate (%),Training Expenses (US$),Training Efficiency Rating (%),Time until Promotion (Months),Training Completion (%),Age,Average Length of Service (Months),Distance between Home and Workplace (km),Non-engagement Rating (%),Performance Rating (%),Source of Hire,Notice Period (Months),Alma Mater,Previous Place of Residence,Fiscal Year of Resignation,Power Plant Location
Sales and Promotion,Further studies,5,250,83,11,65,21,3,20,82,85,Referral,0,NITs,Uttar Pradesh,2018,Korba
Administration,Job dissatisfaction,41,285,90,9,85,23,7,8,77,96,Referral,1,IITs,Punjab,2018,Kawai
Supply Chain Management,Poor department performance,54,242,61,6,84,20,10,9,97,69,Campus recruitment,0,IITs,Chhattisgarh,2018,Mundra
Finance,Poor department performance,44,239,68,10,84,21,2,9,33,87,LinkedIn,2,IITs,Tamil Nadu,2018,Singrauli
Production,Bored and unchallenged by the work itself,40,247,63,6,66,24,8,14,44,70,Campus recruitment,1,IITs,Tamil Nadu,2018,Kawai
Warehouse,Bored and unchallenged by the work itself,25,247,89,10,66,23,3,17,22,79,Campus recruitment,1,NSIT,Punjab,2018,Kawai
Quality Assurance,Poor department performance,27,257,84,5,85,24,7,14,96,79,Campus recruitment,2,NITs,Delhi,2018,Mundra
Warehouse,Further studies,49,267,77,7,64,22,1,18,82,69,Campus recruitment,0,IIITs,Madhya Pradesh,2018,Singrauli
Supply Chain Management,Job dissatisfaction,41,231,71,7,84,24,2,20,84,78,Campus recruitment,1,IIEST,Chhattisgarh,2018,Korba
Finance,Poor department performance,48,268,85,10,31,22,2,11,55,68,Campus recruitment,1,IITs,Bihar,2018,Kawai
Human Resources,Job location not favourable,26,265,60,7,84,20,1,20,85,81,Other job portals,2,IITs,Bihar,2018,Korba
Supply Chain Management,Job location not favourable,47,286,74,11,86,23,2,4,68,90,Campus recruitment,2,DTU,Maharashtra,2018,Kawai
Human Resources,Further studies,12,294,82,7,85,23,5,4,44,91,Campus recruitment,0,IITs,Bihar,2018,Mundra
Administration,Poor department performance,22,267,88,2,55,22,6,15,85,81,Other job portals,0,DTU,Delhi,2018,Korba
Research and Development,Job dissatisfaction,7,55,84,7,49,21,4,13,81,98,Campus recruitment,2,IIITs,Madhya Pradesh,2018,Kawai
