date,ds
2021.9.17,34
2021.9.18,0
2021.9.19,0
2021.9.20,0
2021.9.21,0
2021.9.22,0
2021.9.23,65
2021.9.24,33
2021.9.25,0
2021.9.26,0
2021.9.27,32
2021.9.28,0
2021.9.29,0
2021.9.30,64
2021.10.1,100
2021.10.2,76
2021.10.3,0
2021.10.4,0
2021.10.5,35
2021.10.6,35
2021.10.7,35
2021.10.8,37
2021.10.9,21
2021.10.10,0
2021.10.11,39
2021.10.12,52
2021.10.13,56
2021.10.14,18
2021.10.15,18
2021.10.16,20
2021.10.17,0
2021.10.18,52
2021.10.19,17
2021.10.20,35
2021.10.21,18
2021.10.22,19
2021.10.23,0
2021.10.24,0
2021.10.25,18
2021.10.26,0
2021.10.27,54
2021.10.28,0
2021.10.29,38
2021.10.30,0
2021.10.31,21
2021.11.1,36
2021.11.2,36
2021.11.3,18
2021.11.4,36
2021.11.5,19
2021.11.6,0
2021.11.7,0
2021.11.8,18
2021.11.9,17
2021.11.10,36
2021.11.11,17
2021.11.12,0
2021.11.13,0
2021.11.14,0
2021.11.15,18
2021.11.16,50
2021.11.17,36
2021.11.18,55
2021.11.19,56
2021.11.20,43
2021.11.21,20
2021.11.22,18
2021.11.23,36
2021.11.24,18
2021.11.25,0
2021.11.26,39
2021.11.27,0
2021.11.28,0
2021.11.29,18
2021.11.30,0
2021.12.1,36
2021.12.2,54
2021.12.3,19
2021.12.4,21
2021.12.5,20
2021.12.6,35
2021.12.7,53
2021.12.8,71
2021.12.9,54
2021.12.10,0
2021.12.11,0
2021.12.12,19
2021.12.13,0
2021.12.14,17
