datadate ,tic ,conm,act,lct,at,re,ebit,at,seq,lt
2017-12-31,ABNB ,AIRBNB INC,,0,7572,,-162,7572,,
2018-12-31,ABNB ,AIRBNB INC,5875,3736,6613,-769,38,6613,-517,7130
2019-12-31,ABNB ,AIRBNB INC,6561,5234,8310,-1421,-996,8310,-808,9118
2020-12-31,ABNB ,AIRBNB INC,8916,5140,10491,-6006,-6878,10491,2902,7590
2021-12-31,ABNB ,AIRBNB INC,12386,6359,13708,-6358,1106,13708,4776,8933
2017-12-31,H,HYATT HOTELS CORP,1327,992,7572,3054,183,7572,3853,3719
2018-12-31,H,HYATT HOTELS CORP,1345,1061,7643,3819,546,7643,3677,3966
2019-12-31,H,HYATT HOTELS CORP,1706,1086,8417,4170,310,8417,3967,4450
2020-12-31,H,HYATT HOTELS CORP,2563,984,9129,3389,-1378,9129,3214,5915
2021-12-31,H,HYATT HOTELS CORP,2062,2232,12603,3167,-522,12603,3566,9037
2017-12-31,HLT,HILTON WORLDWIDE HOLDINGS,2007,2462,14228,-6981,1132,14228,1691,12537
2018-12-31,HLT,HILTON WORLDWIDE HOLDINGS,1983,2615,13995,-6417,2864,13995,558,13437
2019-12-31,HLT,HILTON WORLDWIDE HOLDINGS,2093,2871,14957,-5965,3152,14957,-472,15429
2020-12-31,HLT,HILTON WORLDWIDE HOLDINGS,4202,2431,16755,-6732,-238,16755,-1486,18241
2021-12-31,HLT,HILTON WORLDWIDE HOLDINGS,2871,3019,15441,-6322,2034,15441,-819,16260
