ds,y
2021.9.17,26
2021.9.18,29
2021.9.19,0
2021.9.20,0
2021.9.21,0
2021.9.22,0
2021.9.23,0
2021.9.24,0
2021.9.25,0
2021.9.26,27
2021.9.27,24
2021.9.28,0
2021.9.29,0
2021.9.30,24
2021.10.1,0
2021.10.2,28
2021.10.3,27
2021.10.4,0
2021.10.5,26
2021.10.6,0
2021.10.7,0
2021.10.8,28
2021.10.9,32
2021.10.10,16
2021.10.11,15
2021.10.12,13
2021.10.13,14
2021.10.14,41
2021.10.15,41
2021.10.16,15
2021.10.17,0
2021.10.18,52
2021.10.19,13
2021.10.20,66
2021.10.21,13
2021.10.22,57
2021.10.23,49
2021.10.24,15
2021.10.25,40
2021.10.26,14
2021.10.27,13
2021.10.28,27
2021.10.29,100
2021.10.30,16
2021.10.31,31
2021.11.1,14
2021.11.2,54
2021.11.3,41
2021.11.4,55
2021.11.5,29
2021.11.6,0
2021.11.7,30
2021.11.8,27
2021.11.9,0
2021.11.10,14
2021.11.11,26
2021.11.12,29
2021.11.13,0
2021.11.14,0
2021.11.15,0
2021.11.16,12
2021.11.17,13
2021.11.18,14
2021.11.19,0
2021.11.20,16
2021.11.21,0
2021.11.22,0
2021.11.23,13
2021.11.24,14
2021.11.25,14
2021.11.26,15
2021.11.27,0
2021.11.28,15
2021.11.29,40
2021.11.30,13
2021.12.1,13
2021.12.2,0
2021.12.3,42
2021.12.4,47
2021.12.5,0
2021.12.6,26
2021.12.7,13
2021.12.8,13
2021.12.9,0
2021.12.10,28
2021.12.11,16
2021.12.12,28
2021.12.13,53
2021.12.14,26
