ds,y
2016-12-25,29
2017-01-01,34
2017-01-08,39
2017-01-15,40
2017-01-22,38
2017-01-29,38
2017-02-05,45
2017-02-12,43
2017-02-19,45
2017-02-26,44
2017-03-05,47
2017-03-12,43
2017-03-19,49
2017-03-26,46
2017-04-02,46
2017-04-09,43
2017-04-16,42
2017-04-23,49
2017-04-30,44
2017-05-07,49
2017-05-14,47
2017-05-21,49
2017-05-28,48
2017-06-04,47
2017-06-11,49
2017-06-18,46
2017-06-25,46
2017-07-02,43
2017-07-09,46
2017-07-16,46
2017-07-23,43
2017-07-30,46
2017-08-06,45
2017-08-13,44
2017-08-20,43
2017-08-27,47
2017-09-03,47
2017-09-10,47
2017-09-17,54
2017-09-24,49
2017-10-01,48
2017-10-08,51
2017-10-15,50
2017-10-22,52
2017-10-29,49
2017-11-05,53
2017-11-12,51
2017-11-19,51
2017-11-26,55
2017-12-03,52
2017-12-10,50
2017-12-17,46
2017-12-24,30
2017-12-31,38
2018-01-07,47
2018-01-14,49
2018-01-21,52
2018-01-28,51
2018-02-04,53
2018-02-11,53
2018-02-18,61
2018-02-25,57
2018-03-04,54
2018-03-11,57
2018-03-18,58
2018-03-25,52
2018-04-01,54
2018-04-08,59
2018-04-15,59
2018-04-22,59
2018-04-29,50
2018-05-06,59
2018-05-13,62
2018-05-20,58
2018-05-27,54
2018-06-03,61
2018-06-10,59
2018-06-17,58
2018-06-24,56
2018-07-01,52
2018-07-08,56
2018-07-15,59
2018-07-22,61
2018-07-29,63
2018-08-05,62
2018-08-12,58
2018-08-19,62
2018-08-26,65
2018-09-02,63
2018-09-09,61
2018-09-16,64
2018-09-23,64
2018-09-30,66
2018-10-07,62
2018-10-14,66
2018-10-21,63
2018-10-28,58
2018-11-04,61
2018-11-11,62
2018-11-18,63
2018-11-25,64
2018-12-02,62
2018-12-09,61
2018-12-16,62
2018-12-23,36
2018-12-30,42
2019-01-06,66
2019-01-13,66
2019-01-20,67
2019-01-27,72
2019-02-03,71
2019-02-10,77
2019-02-17,75
2019-02-24,73
2019-03-03,76
2019-03-10,73
2019-03-17,79
2019-03-24,77
2019-03-31,77
2019-04-07,75
2019-04-14,71
2019-04-21,71
2019-04-28,67
2019-05-05,72
2019-05-12,78
2019-05-19,77
2019-05-26,74
2019-06-02,75
2019-06-09,84
2019-06-16,78
2019-06-23,84
2019-06-30,76
2019-07-07,78
2019-07-14,79
2019-07-21,73
2019-07-28,77
2019-08-04,74
2019-08-11,75
2019-08-18,87
2019-08-25,79
2019-09-01,78
2019-09-08,80
2019-09-15,82
2019-09-22,86
2019-09-29,81
2019-10-06,82
2019-10-13,85
2019-10-20,86
2019-10-27,80
2019-11-03,87
2019-11-10,84
2019-11-17,89
2019-11-24,80
2019-12-01,82
2019-12-08,82
2019-12-15,82
2019-12-22,47
2019-12-29,52
2020-01-05,80
2020-01-12,84
2020-01-19,89
2020-01-26,93
2020-02-02,94
2020-02-09,98
2020-02-16,95
2020-02-23,96
2020-03-01,98
2020-03-08,91
2020-03-15,78
2020-03-22,79
2020-03-29,80
2020-04-05,75
2020-04-12,87
2020-04-19,87
2020-04-26,83
2020-05-03,85
2020-05-10,88
2020-05-17,92
2020-05-24,87
2020-05-31,80
2020-06-07,88
2020-06-14,92
2020-06-21,88
2020-06-28,85
2020-07-05,88
2020-07-12,96
2020-07-19,93
2020-07-26,92
2020-08-02,89
2020-08-09,90
2020-08-16,91
2020-08-23,90
2020-08-30,86
2020-09-06,89
2020-09-13,90
2020-09-20,96
2020-09-27,92
2020-10-04,92
2020-10-11,82
2020-10-18,86
2020-10-25,76
2020-11-01,72
2020-11-08,78
2020-11-15,81
2020-11-22,75
2020-11-29,78
2020-12-06,79
2020-12-13,76
2020-12-20,55
2020-12-27,44
2021-01-03,76
2021-01-10,82
2021-01-17,84
2021-01-24,83
2021-01-31,86
2021-02-07,84
2021-02-14,90
2021-02-21,91
2021-02-28,95
2021-03-07,90
2021-03-14,91
2021-03-21,99
2021-03-28,87
2021-04-04,81
2021-04-11,85
2021-04-18,93
2021-04-25,91
2021-05-02,91
2021-05-09,94
2021-05-16,95
2021-05-23,94
2021-05-30,94
2021-06-06,100
2021-06-13,98
2021-06-20,94
2021-06-27,96
2021-07-04,93
2021-07-11,97
2021-07-18,97
2021-07-25,87
2021-08-01,85
2021-08-08,88
2021-08-15,90
2021-08-22,91
2021-08-29,96
2021-09-05,89
2021-09-12,96
2021-09-19,99
2021-09-26,98
2021-10-03,81
2021-10-10,76
2021-10-17,78
2021-10-24,73
2021-10-31,71
2021-11-07,77
2021-11-14,81
2021-11-21,75
2021-11-28,77
2021-12-05,78
2021-12-12,87
