ds,y
2021-09-20,77
2021-09-21,86
2021-09-22,85
2021-09-23,100
2021-09-24,65
2021-09-25,30
2021-09-26,36
2021-09-27,89
2021-09-28,81
2021-09-29,84
2021-09-30,82
2021-10-01,70
2021-10-02,25
2021-10-03,30
2021-10-04,78
2021-10-05,67
2021-10-06,69
2021-10-07,59
2021-10-08,56
2021-10-09,23
2021-10-10,24
2021-10-11,58
2021-10-12,67
2021-10-13,65
2021-10-14,69
2021-10-15,52
2021-10-16,25
2021-10-17,25
2021-10-18,68
2021-10-19,72
2021-10-20,63
2021-10-21,73
2021-10-22,64
2021-10-23,22
2021-10-24,27
2021-10-25,62
2021-10-26,69
2021-10-27,68
2021-10-28,64
2021-10-29,56
2021-10-30,22
2021-10-31,24
2021-11-01,52
2021-11-02,56
2021-11-03,60
2021-11-04,57
2021-11-05,55
2021-11-06,23
2021-11-07,26
2021-11-08,61
2021-11-09,70
2021-11-10,70
2021-11-11,66
2021-11-12,60
2021-11-13,24
2021-11-14,26
2021-11-15,66
2021-11-16,69
2021-11-17,69
2021-11-18,67
2021-11-19,62
2021-11-20,23
2021-11-21,26
2021-11-22,65
2021-11-23,67
2021-11-24,71
2021-11-25,64
2021-11-26,52
2021-11-27,27
2021-11-28,23
2021-11-29,63
2021-11-30,69
2021-12-01,66
2021-12-02,73
2021-12-03,67
2021-12-04,25
2021-12-05,30
2021-12-06,67
2021-12-07,70
2021-12-08,64
2021-12-09,73
2021-12-10,60
2021-12-11,23
2021-12-12,31
2021-12-13,67
2021-12-14,68
2021-12-15,71
2021-12-16,69
2021-12-17,53
