ds,y
2021-09-20,77
2021-09-21,90
2021-09-22,64
2021-09-23,67
2021-09-24,79
2021-09-25,10
2021-09-26,17
2021-09-27,100
2021-09-28,93
2021-09-29,65
2021-09-30,78
2021-10-01,64
2021-10-02,7
2021-10-03,14
2021-10-04,66
2021-10-05,93
2021-10-06,90
2021-10-07,76
2021-10-08,67
2021-10-09,14
2021-10-10,13
2021-10-11,68
2021-10-12,84
2021-10-13,79
2021-10-14,66
2021-10-15,99
2021-10-16,17
2021-10-17,18
2021-10-18,81
2021-10-19,66
2021-10-20,84
2021-10-21,80
2021-10-22,80
2021-10-23,7
2021-10-24,18
2021-10-25,93
2021-10-26,85
2021-10-27,99
2021-10-28,77
2021-10-29,66
2021-10-30,8
2021-10-31,12
2021-11-01,73
2021-11-02,79
2021-11-03,74
2021-11-04,75
2021-11-05,58
2021-11-06,10
2021-11-07,11
2021-11-08,90
2021-11-09,86
2021-11-10,78
2021-11-11,76
2021-11-12,65
2021-11-13,10
2021-11-14,8
2021-11-15,79
2021-11-16,53
2021-11-17,83
2021-11-18,89
2021-11-19,66
2021-11-20,20
2021-11-21,18
2021-11-22,88
2021-11-23,73
2021-11-24,70
2021-11-25,73
2021-11-26,46
2021-11-27,16
2021-11-28,16
2021-11-29,68
2021-11-30,69
2021-12-01,85
2021-12-02,79
2021-12-03,90
2021-12-04,16
2021-12-05,18
2021-12-06,77
2021-12-07,66
2021-12-08,70
2021-12-09,86
2021-12-10,58
2021-12-11,12
2021-12-12,2
2021-12-13,72
2021-12-14,90
2021-12-15,65
2021-12-16,89
2021-12-17,90
