ds,y
2021-09-20,100
2021-09-21,97
2021-09-22,100
2021-09-23,96
2021-09-24,82
2021-09-25,61
2021-09-26,68
2021-09-27,87
2021-09-28,98
2021-09-29,93
2021-09-30,90
2021-10-01,74
2021-10-02,57
2021-10-03,67
2021-10-04,91
2021-10-05,81
2021-10-06,84
2021-10-07,78
2021-10-08,63
2021-10-09,53
2021-10-10,69
2021-10-11,75
2021-10-12,75
2021-10-13,91
2021-10-14,81
2021-10-15,71
2021-10-16,54
2021-10-17,60
2021-10-18,78
2021-10-19,74
2021-10-20,77
2021-10-21,77
2021-10-22,65
2021-10-23,44
2021-10-24,47
2021-10-25,73
2021-10-26,75
2021-10-27,71
2021-10-28,81
2021-10-29,64
2021-10-30,47
2021-10-31,50
2021-11-01,70
2021-11-02,77
2021-11-03,76
2021-11-04,82
2021-11-05,72
2021-11-06,53
2021-11-07,60
2021-11-08,84
2021-11-09,83
2021-11-10,78
2021-11-11,83
2021-11-12,86
2021-11-13,61
2021-11-14,69
2021-11-15,82
2021-11-16,83
2021-11-17,81
2021-11-18,90
2021-11-19,66
2021-11-20,58
2021-11-21,65
2021-11-22,76
2021-11-23,79
2021-11-24,83
2021-11-25,70
2021-11-26,68
2021-11-27,58
2021-11-28,62
2021-11-29,72
2021-11-30,76
2021-12-01,82
2021-12-02,86
2021-12-03,72
2021-12-04,59
2021-12-05,66
2021-12-06,81
2021-12-07,83
2021-12-08,89
2021-12-09,77
2021-12-10,73
2021-12-11,58
2021-12-12,68
2021-12-13,77
2021-12-14,83
2021-12-15,85
2021-12-16,76
2021-12-17,61
