ds,y
2016-12-25,31
2017-01-01,56
2017-01-08,73
2017-01-15,65
2017-01-22,56
2017-01-29,64
2017-02-05,66
2017-02-12,86
2017-02-19,71
2017-02-26,72
2017-03-05,84
2017-03-12,75
2017-03-19,77
2017-03-26,64
2017-04-02,90
2017-04-09,66
2017-04-16,74
2017-04-23,72
2017-04-30,67
2017-05-07,77
2017-05-14,76
2017-05-21,51
2017-05-28,66
2017-06-04,69
2017-06-11,70
2017-06-18,68
2017-06-25,62
2017-07-02,48
2017-07-09,82
2017-07-16,63
2017-07-23,59
2017-07-30,71
2017-08-06,68
2017-08-13,70
2017-08-20,57
2017-08-27,55
2017-09-03,57
2017-09-10,68
2017-09-17,78
2017-09-24,76
2017-10-01,70
2017-10-08,71
2017-10-15,74
2017-10-22,71
2017-10-29,71
2017-11-05,72
2017-11-12,86
2017-11-19,66
2017-11-26,77
2017-12-03,68
2017-12-10,75
2017-12-17,52
2017-12-24,34
2017-12-31,58
2018-01-07,68
2018-01-14,56
2018-01-21,67
2018-01-28,65
2018-02-04,71
2018-02-11,72
2018-02-18,67
2018-02-25,67
2018-03-04,75
2018-03-11,69
2018-03-18,78
2018-03-25,64
2018-04-01,72
2018-04-08,80
2018-04-15,63
2018-04-22,92
2018-04-29,69
2018-05-06,64
2018-05-13,60
2018-05-20,63
2018-05-27,75
2018-06-03,74
2018-06-10,66
2018-06-17,77
2018-06-24,70
2018-07-01,67
2018-07-08,75
2018-07-15,62
2018-07-22,72
2018-07-29,77
2018-08-05,67
2018-08-12,66
2018-08-19,50
2018-08-26,75
2018-09-02,84
2018-09-09,81
2018-09-16,73
2018-09-23,78
2018-09-30,78
2018-10-07,71
2018-10-14,86
2018-10-21,75
2018-10-28,77
2018-11-04,86
2018-11-11,70
2018-11-18,72
2018-11-25,72
2018-12-02,73
2018-12-09,70
2018-12-16,63
2018-12-23,46
2018-12-30,49
2019-01-06,77
2019-01-13,73
2019-01-20,82
2019-01-27,77
2019-02-03,76
2019-02-10,83
2019-02-17,78
2019-02-24,84
2019-03-03,87
2019-03-10,97
2019-03-17,66
2019-03-24,87
2019-03-31,100
2019-04-07,90
2019-04-14,90
2019-04-21,68
2019-04-28,84
2019-05-05,81
2019-05-12,80
2019-05-19,81
2019-05-26,75
2019-06-02,87
2019-06-09,88
2019-06-16,82
2019-06-23,97
2019-06-30,76
2019-07-07,91
2019-07-14,84
2019-07-21,81
2019-07-28,84
2019-08-04,82
2019-08-11,83
2019-08-18,90
2019-08-25,84
2019-09-01,83
2019-09-08,94
2019-09-15,96
2019-09-22,88
2019-09-29,96
2019-10-06,94
2019-10-13,96
2019-10-20,78
2019-10-27,91
2019-11-03,99
2019-11-10,95
2019-11-17,96
2019-11-24,84
2019-12-01,86
2019-12-08,86
2019-12-15,84
2019-12-22,58
2019-12-29,58
2020-01-05,79
2020-01-12,93
2020-01-19,66
2020-01-26,76
2020-02-02,84
2020-02-09,81
2020-02-16,95
2020-02-23,73
2020-03-01,89
2020-03-08,87
2020-03-15,82
2020-03-22,80
2020-03-29,98
2020-04-05,96
2020-04-12,91
2020-04-19,83
2020-04-26,94
2020-05-03,99
2020-05-10,91
2020-05-17,86
2020-05-24,91
2020-05-31,77
2020-06-07,96
2020-06-14,91
2020-06-21,80
2020-06-28,93
2020-07-05,83
2020-07-12,94
2020-07-19,85
2020-07-26,81
2020-08-02,81
2020-08-09,79
2020-08-16,84
2020-08-23,78
2020-08-30,80
2020-09-06,83
2020-09-13,87
2020-09-20,92
2020-09-27,78
2020-10-04,80
2020-10-11,78
2020-10-18,81
2020-10-25,65
2020-11-01,70
2020-11-08,64
2020-11-15,80
2020-11-22,71
2020-11-29,65
2020-12-06,77
2020-12-13,66
2020-12-20,52
2020-12-27,45
2021-01-03,66
2021-01-10,63
2021-01-17,61
2021-01-24,72
2021-01-31,72
2021-02-07,65
2021-02-14,77
2021-02-21,68
2021-02-28,72
2021-03-07,80
2021-03-14,68
2021-03-21,63
2021-03-28,81
2021-04-04,64
2021-04-11,66
2021-04-18,68
2021-04-25,78
2021-05-02,77
2021-05-09,72
2021-05-16,80
2021-05-23,92
2021-05-30,79
2021-06-06,80
2021-06-13,73
2021-06-20,68
2021-06-27,65
2021-07-04,71
2021-07-11,77
2021-07-18,78
2021-07-25,67
2021-08-01,68
2021-08-08,69
2021-08-15,57
2021-08-22,61
2021-08-29,68
2021-09-05,73
2021-09-12,85
2021-09-19,87
2021-09-26,73
2021-10-03,69
2021-10-10,63
2021-10-17,60
2021-10-24,64
2021-10-31,61
2021-11-07,65
2021-11-14,76
2021-11-21,57
2021-11-28,69
2021-12-05,66
2021-12-12,70
