ds,y
2021-09-20,67
2021-09-21,57
2021-09-22,67
2021-09-23,70
2021-09-24,90
2021-09-25,40
2021-09-26,57
2021-09-27,57
2021-09-28,88
2021-09-29,38
2021-09-30,83
2021-10-01,100
2021-10-02,53
2021-10-03,40
2021-10-04,86
2021-10-05,70
2021-10-06,76
2021-10-07,68
2021-10-08,69
2021-10-09,49
2021-10-10,31
2021-10-11,79
2021-10-12,65
2021-10-13,72
2021-10-14,65
2021-10-15,62
2021-10-16,42
2021-10-17,50
2021-10-18,44
2021-10-19,46
2021-10-20,58
2021-10-21,76
2021-10-22,64
2021-10-23,19
2021-10-24,48
2021-10-25,51
2021-10-26,67
2021-10-27,71
2021-10-28,74
2021-10-29,58
2021-10-30,27
2021-10-31,31
2021-11-01,76
2021-11-02,44
2021-11-03,72
2021-11-04,62
2021-11-05,64
2021-11-06,49
2021-11-07,30
2021-11-08,54
2021-11-09,69
2021-11-10,84
2021-11-11,42
2021-11-12,48
2021-11-13,44
2021-11-14,33
2021-11-15,80
2021-11-16,87
2021-11-17,89
2021-11-18,85
2021-11-19,87
2021-11-20,41
2021-11-21,43
2021-11-22,50
2021-11-23,71
2021-11-24,73
2021-11-25,31
2021-11-26,37
2021-11-27,40
2021-11-28,37
2021-11-29,73
2021-11-30,68
2021-12-01,81
2021-12-02,55
2021-12-03,89
2021-12-04,51
2021-12-05,38
2021-12-06,65
2021-12-07,43
2021-12-08,76
2021-12-09,89
2021-12-10,64
2021-12-11,50
2021-12-12,52
2021-12-13,62
2021-12-14,59
2021-12-15,70
2021-12-16,55
2021-12-17,53
