X_int,X_bin,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20
417630, 1100101111101011110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786240,10111111111101000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875790,11010101110100001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338120, 1010010100011001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579090,10001101011000010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026700,11111010101010001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575990,10001100100111110110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346470, 1010100100101100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649560,10011110100101011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378160, 1011100010100110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793260,11000001101010101100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434010, 1101001111101011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516260, 1111110000010100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728490,10110001110110101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020000,11111001000001100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343680, 1010011111010000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878500,11010110011110100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
